amtId,amt
1,Bürgermeister
2,Innerer Rat
3,Stadtrichter
4,Assessor am Hansgericht
5,Rat
6,Oberkämmerer
7,Spitalssuperintendent
8,Oberschützenmeister
9,Stadtdirektor
10,Äußerer Rat
11,Kämmerer
12,Spitalmeister
13,Landeshauptmann
14,Ratspräses
15,Kirchenmeister
16,Assessor des Almosenamtes
17,Marktrichter
18,Vorgeher der Stadt Steyr zu Eisenerz
19,Amtsbürgermeister
20,Commerzienrat
21,Appellationsrat beim o.ö. Wechselgericht
22,Stadtgerichtsassessor
23,Genannter
24,Adjunkt am Banco Publico
26,Zechpropst
27,Schlüsselamtmann
28,Schlesischer Kommerzienrat
29,Senator
30,Unterkämmerer
31,Spitalverwalter
32,Kirchenamtsverwalter
33,Ratsbürger
34,Vogt
35,Landrichter
36,Graf
37,Obristleutnant
38,Meister
39,Baron
40,Hofjude
41,Freiherr
42,Dr.
43,Bischof
44,"Hofjude, Landschaftsjude"
45,Schlüsselamtsbestandsinhaber
47,Hauptmann
48,Ksl. Quecksilberfaktor
49,König von Polen
50,Ksl. und Kgl. polnischer Oberfaktor
51,Ksl. Faktor
52,Edler
53,Witwe
54,Gräfin
55,Ritter
57,Vorsteher
58,Kommerzienrat
59,Richter
60,Oberfaktor (ksl.)
61,Oberfaktor (kgl.)
63,Ksl. Kupferadministrator
64,Substitutus des NÖ Wechselgerichts
65,Rentmeister
66,Ksl. Kupferadministrator
67,Ksl. Resident in Augsburg und Ulm
68,Assessor am Stadtgericht Augsburg
69,Marktadjunkt
70,Bancoherr
71,Marktvorsteher
72,Rat am NÖ Judicium Appellatorium Mercantile
73,Assessor am NÖ Wechselgericht (1. Instanz)
74,Niederlagsdeputierter
75,Niederlagskassier
76,Niederlagsdeputierter Adjunkt
77,Oberpfleger der St. Martinsstiftung (Augsburg)
78,Vorsteher der bürgerl. Handelsleute
79,Senior des bürgerl. Handelsstands
80,Sensal am Merkantil- und Wechselgericht
81,Hofkammerrat (kurbayrisch)
82,Senior des Stadtrats
83,Verwalter
84,Bauherr
85,General
86,Obrist (Dragonerregiment Bayreuth)
87,Obrist (Dragonerregiment Prinz Eugen)
88,Gesandter von Genua
89,Marchese
90,Nuntius
91,Herzog
92,Gesandter von Kurpfalz am Kaiserhof
93,Hofrat
94,Ordinari Nürnberger Bote
95,Gesandter von Ulm
96,Agent
97,Hofkriegsratsagent
98,Gesandter von Braunschweig-Wolfenbüttel
99,OÖ Geheimer Rat
100,Hofkupferstecher (ksl.)
101,Erzherzog
102,Prälat
103,Kurfürst
104,Fürst
105,Leibschiffmeister (ksl.)
106,Hoflieferant
107,Kartengefälleeinnehmer
108,Direktionsassistent der Orientalischen Kompanie
109,Stadkämmerer
110,Wechselsensal
111,Landesrabbiner
112,Hofjude (Kurpfalz)
113,Deputierter der Hofhandelsleute
114,Ungeldamtassessor
115,Reichsritter
116,Deputierter der Orientalischen Kompanie
