flusssystemId,flusssystem
1,Donau
2,Inn
3,Iller
5,Meriç Nehri
6,Save
7,Vils
8,Große Mühl
9,Iller/Lech
10,Naab
11,Isar
13,Lech
14,Elbe
15,Große Tulln
16,March
17,Traun
19,Rhein
20,Enns
21,Oder
24,Kamp
26,Regen
27,Weichsel
28,Innbach
30,Krems (NÖ)
31,Altmühl
32,Traisen
33,Lauter
34,Drau
35,Aist
36,Pielach
37,Lauchert
38,Kleine Mühl
39,Rodl
43,Schwarze Laber
52,Ilz
53,Weser
56,Feckinger Bach
64,Leibi
69,Perschling
72,Mindel
75,Kepplmühlbach
76,Kleiner Kesselbach
82,Theiß
84,Pregel
88,Ybbs
91,Naarn
94,Abens
95,Maas
96,Klosterbach
97,Rhone
98,Schmida
99,Melk
100,Leitha
102,Schwechat
103,Wien
105,Weitenbach
107,Ablach
109,Kinsach
110,Ems
111,Wolfach
112,Waag
113,Wörnitz
114,Großer Kesselbach
115,Göllersbach
116,Ranna
117,Brenz
118,Fladnitzbach
119,Günz
121,Seine
122,Po
123,Pesenbach
124,Erlauf
125,Roth
129,Gaißa
130,Raab
132,Bärndorfer Graben
134,Große Laber
135,Tiber
136,Ainbrach
137,Gran
138,Geislinger Mühlbach
139,Fischa
140,Tagliamento
141,Etsch
142,Kessel
143,Kleine Tulln
144,Ipfbach
145,Gusen
147,Erla
149,Hengersberger Ohe
150,Bogenbach
151,Temesch
152,Kristeinbach
153,Schelde
154,Doblmühlbach
155,Gießgraben
156,Brenta
157,Teufelsbach
158,Alserbach
159,Erlau
