personen_altVornameId,personenId,altVorname
2,9,Lewl
4,704,Jörg
5,1386,Jörg
6,2878,Matthäus Anton
7,2937,Matthäus
8,2937,Mathes
9,2993,Michel
10,3022,Janß
11,3261,Mert
12,3669,Johann Francesco
13,4057,Löw
14,4161,Augustin
15,4562,Oth
16,5318,Johannes
17,5602,Mathes
18,5626,Mathes
19,6305,Mathes
20,6690,Mathes
21,6985,Mathes
22,7094,Matthias
23,7541,Merth
24,7860,Johaimb
25,7880,Jochan
26,7956,Bininin
27,7956,Pernim
28,7958,Pürckhas
29,3681,Wolfgang
30,12086,Rocho
31,8591,Kilian
32,43829,Freitcha
35,11130,Markus
37,9468,Guillaume 
38,28298,Claude
40,3,Ignaz Matthias
41,36354,Anton
43,16922,Johann Maximilian
44,19355,Anton
45,8747,Mauritz
46,43889,Girolamo
47,32059,Giacomo
49,437,Estienne
50,42612,Andre
51,17087,Gasparo
52,8192,Giuseppe
53,8192,Gioseppe
54,46126,Antoinne Leopold
55,24742,Giovanni Benedetto
56,30180,Bartolomeo
57,43886,Maria Theresia
58,46198,Marco Hermann
59,46242,Renata Elisabeth
60,46253,Amé
61,46150,Guillaume
62,5373,Romanus
63,46288,Adam
64,41439,Pietro
65,46170,Franz
66,24831,Johann Wolfgang
68,10090,Albert
69,26325,Gioacchino
70,8587,Giovanni Maria
71,38711,Jean Babtiste
72,46850,Paul
73,21017,Giovanni Pietro
74,46700,Adolf Wilhelm
75,46542,Anton
76,25454,Franz
77,43919,Franz
78,1513,Gervasius
79,12086,Rocco
80,9684,Joseph
82,24831,Wolfgang
83,12424,Bernhard
84,13226,Wilhelm
85,47283,Johann Noe
86,43839,Johann Noe
88,47283,Noe
89,9058,Matteo
91,43794,Leopold
92,9136,Carlo
93,8439,Laurent
94,8802,Lukas
95,7998,Johann Jakob
96,23655,Giovanni Anton
97,46937,Dominicus Nicolaus
98,18406,Johann Baptista
99,43896,Ignaz Matthias
100,44025,Johann Paul
101,47574,Johann Joseph
102,46215,Gottlieb
103,47636,Karl Joseph [?]
104,9952,Wenzel Cleophas
105,43883,Franz Nikolaus
106,22433,Mathaeo
107,41987,Franz Daniel
108,46221,Anton Jakob
109,3856,Sacharja ben Isachar Beer ha-Levi
110,8439,Laurenz
111,8146,Jehuda Efraim
112,8146,Löb b. Chajjim ha-Levi
113,16758,Johann Sigmund
114,14631,Johann Andreas
115,22232,Clemente
116,40548,Johann Bernhard
117,43771,Johann Peter
118,24598,Estienne
119,26082,Johann Paul
120,46522,Johann Christoph
121,13222,Nikolaus
122,44148,Julius Maria
123,22531,Pietro
124,3759,Giovanni
125,11690,Albrecht
126,17087,Kaspar Melichor Balthasar
