personen_ehepartnerId,personenId1,personenId2
1,43829,25401
4,44023,44012
6,44036,44035
7,44046,44045
8,46104,437
9,8980,3074
10,43845,43785
11,43982,43981
12,2848,18491
13,46129,46128
14,46135,23514
15,46139,46138
16,46141,13619
17,46145,35115
18,46146,30180
19,46160,46159
20,46166,46165
21,46172,46171
22,46173,41747
23,46175,46174
24,43979,43980
25,9548,43886
26,46179,43887
27,46181,46180
28,46190,8322
29,46252,46250
30,46258,41599
31,46263,8168
32,46266,46264
33,46269,46267
34,46275,37748
35,46281,46279
36,46283,46282
39,46323,46321
40,46345,46343
41,46350,24248
42,46355,46353
43,46358,46356
44,46372,46371
45,46378,46375
46,46381,27714
47,46381,46380
48,46384,46382
49,46388,28324
50,46393,11674
51,46417,40592
52,46422,24258
53,46425,46423
54,46432,46430
55,46435,46433
56,46455,8186
57,46456,46454
58,46465,46463
59,46505,39393
60,46514,46510
61,46520,46518
62,46170,46393
63,46531,46527
64,46549,46545
65,46552,46162
66,46555,46553
67,46558,46556
68,43925,46560
69,46565,46563
70,46569,46566
71,46573,46572
72,43792,23558
73,43796,43793
74,43799,43797
75,46600,46293
76,43859,34421
77,43862,43864
78,43865,43866
79,16903,43825
80,43875,43874
81,43856,43857
82,43857,13158
83,46652,13005
84,24594,46664
85,46671,46670
86,46673,18406
87,20473,8489
88,46694,46692
89,46723,22544
90,46731,43201
91,46737,46735
92,46740,46738
93,46742,46738
94,46744,46169
95,46755,43802
96,46757,46571
97,46759,46758
98,46763,46761
99,46768,46765
100,46822,10693
101,46832,46830
102,46837,46835
103,46845,46841
104,46851,46785
105,46879,10730
106,46912,46910
107,46913,46910
108,46921,46919
109,46924,46922
110,46926,30195
111,46931,46930
112,46936,46932
113,46939,46937
114,46844,46940
115,46945,46944
116,46947,46946
117,46960,6601
118,46974,26085
119,46984,10180
120,47010,47008
121,47014,21604
122,47017,27475
123,47021,47018
124,47024,47022
125,47026,43919
126,47029,47027
127,47030,36452
128,47045,47043
129,26114,47047
130,9090,47055
131,47058,1115
132,47093,8411
133,47100,47098
134,47104,21998
135,46832,24741
136,47122,42886
137,47123,47120
138,47127,47125
139,47132,47129
140,47136,47133
141,47139,47137
142,47145,47142
143,47147,46838
144,47152,47150
145,47155,47153
146,47159,47156
147,47160,47159
148,47177,43810
149,47293,8116
151,43849,16042
152,9952,43882
153,43896,43897
154,43899,43900
155,43908,43907
156,43911,43910
157,43915,19355
158,43916,19355
159,47356,22485
160,27912,43923
161,16940,43927
162,21476,43937
163,43939,30064
164,43941,43940
165,43954,47366
166,25660,43931
167,25660,43932
168,43964,43963
169,43977,43978
170,43984,43985
171,43991,43986
172,43993,43992
173,47423,21800
174,47429,8802
175,47444,10901
176,47471,23401
177,47487,23508
178,47494,15956
179,47498,10071
180,47515,47512
181,47516,47514
182,47524,47522
183,47527,47525
184,47528,47527
185,47531,47529
186,47533,38569
187,47536,34998
188,47538,33707
189,47545,47544
190,47549,47546
191,47551,43989
192,47560,47558
193,47563,47561
194,47567,47565
195,47581,47580
196,47584,47582
197,47585,47582
198,47588,47586
199,47592,47586
200,47595,47593
201,47599,47598
202,47606,47605
203,47611,47608
204,47614,47612
205,47617,47615
206,47123,47568
207,20776,20777
208,44414,42198
209,345,347
210,3010,3012
211,2876,7310
