personen_geschaeftspartnerId,personenId1,personenId2
2,44005,43996
4,43996,43999
5,43999,44005
6,44015,44012
8,44045,8410
9,44054,11308
10,44055,10385
11,17087,18128
14,8743,2971
15,44993,8743
16,46105,41865
17,46108,9344
18,41599,9344
19,41599,46108
20,46109,8331
21,28228,2848
22,46111,14104
23,8589,8411
24,46113,9731
25,30296,8096
26,46124,17087
27,8192,17087
31,37955,21476
32,46132,37955
33,46133,37955
34,46133,46132
35,12421,37955
37,46134,37955
39,10693,13619
40,30296,34913
42,8109,42662
43,46154,46150
44,46155,46150
45,46155,46154
46,43894,43895
47,46157,46156
48,46162,46161
49,8802,46165
50,46167,29693
51,46169,46168
52,46170,46168
53,8411,46171
54,43979,46174
55,46177,46176
56,31324,46176
57,43886,43887
58,46201,10359
59,46226,46225
60,37748,43997
61,22683,46239
62,46241,46239
63,29551,46250
64,46253,29551
65,46253,46150
66,46150,29551
67,46254,29551
68,46254,46253
69,46254,46150
71,26689,6849
72,46273,46271
73,37701,28699
74,8188,8421
75,46302,20897
76,46306,16221
77,46306,42309
78,46334,19817
79,25454,29323
80,5636,24512
81,10600,28324
82,15475,46371
83,46379,46375
84,46387,46385
85,46170,46393
86,46393,46394
88,37974,8508
89,46397,8508
90,46397,37974
91,24831,40680
92,24831,11795
93,11795,40680
94,23412,43938
95,27912,23412
96,46430,24258
97,46438,46436
98,46455,46454
100,20866,46459
101,46460,20866
102,46460,46459
103,46492,30048
104,8593,15932
105,22363,15932
106,46522,46521
107,23197,46521
108,46522,23197
110,46532,30193
111,46536,46535
112,29325,46536
114,46542,46543
115,46547,46545
119,43793,43794
120,15470,14160
121,8324,37955
122,43870,43868
123,43876,43878
124,43854,15430
125,43856,43857
126,46661,8802
127,46665,46664
128,4528,26325
129,21607,46681
130,46683,46682
131,11940,46698
132,24742,8587
133,43974,46710
134,23214,43793
135,16702,11161
136,16702,9824
137,46729,29325
138,46169,43201
139,46750,34454
140,46754,43802
141,9516,14663
142,20532,14663
143,20532,9516
144,46775,14663
145,46775,20532
146,46775,9516
147,9686,3658
149,46784,8089
150,18524,25421
151,8410,46846
152,46850,46785
153,46854,9918
154,46855,9918
155,46855,46854
156,10730,46856
157,10730,34278
158,34278,46856
160,46876,46877
161,10730,9420
162,46888,46887
163,46897,25004
164,46898,25004
165,46898,46897
167,46917,46914
168,46935,46932
169,46938,46937
170,44148,46950
171,8754,8272
172,43611,12636
173,29681,46959
174,46989,9643
175,46991,8331
176,39974,14589
177,43919,46527
178,47049,8333
179,47062,16575
180,47069,12360
181,43898,43896
182,21998,43912
183,46767,30269
184,47120,42886
185,47121,42886
186,43810,42886
187,47135,47133
188,47162,47156
189,10201,47175
190,10201,42886
191,47175,42886
192,43810,4694
193,30391,43810
194,42886,43810
195,43815,43810
196,43815,4694
197,43815,30391
198,30391,4694
199,47181,47178
200,43785,9684
201,24663,43805
202,24663,43808
203,24663,22880
204,24663,13459
205,22880,43805
206,22880,43809
207,22880,13459
208,43808,43805
209,43808,43809
210,43808,22880
211,43808,13459
212,43805,13459
216,4694,43814
217,4694,43813
218,47276,4694
219,47276,43814
220,47276,43813
221,43814,43813
222,43817,9414
223,43844,8923
224,47293,43848
225,43889,8574
226,43889,43890
227,8574,43890
228,36354,10683
229,43904,10683
230,43904,36354
231,43904,9133
232,16922,9133
233,16922,36354
234,16922,15932
235,16922,46400
236,9133,15932
237,9133,36354
238,9133,46400
239,15932,36354
240,15932,46400
241,5636,36768
242,4646,5636
243,25146,19355
244,29664,43917
246,43918,3764
247,43936,21476
248,43942,43946
249,43942,43947
250,43942,43948
251,43947,43948
252,43947,43946
253,43948,43946
255,43953,43950
256,8799,37177
257,43957,43956
258,43959,43958
259,43960,43961
260,43795,43793
261,43973,43969
262,43972,43969
263,43972,43973
264,8593,9133
265,8593,36354
266,47405,13222
267,47406,13222
268,47406,47405
269,47467,43782
270,47468,43782
271,47468,47467
272,47479,47477
273,23727,26327
274,43783,8591
275,47181,47182
276,47514,47512
277,47517,47512
278,47517,47514
279,47546,4646
280,47554,46153
281,47556,46153
282,47576,8487
283,47616,47615
284,8682,32524
285,8682,18982
286,32524,8682
287,32524,18982
288,10123,292
289,34467,7998
290,10050,12822
291,13378,10829
292,22503,27320
293,1118,44045
294,1118,46846
295,8487,42886
296,48548,46559
297,48548,46560
