personen_testamentId,personenId,testament
1,47517,1
2,24410,1
3,43805,1
4,11199,1
5,16042,1
6,42829,1
7,20661,1
8,10694,1
9,16003,1
10,484,1
11,46410,1
12,47066,1
13,9090,1
14,11516,1
15,13796,1
16,47637,1
17,8095,1
18,4220,1
19,13005,1
20,18686,1
21,47651,1
22,6108,1
23,10060,1
24,47649,1
25,33187,1
26,47660,1
27,10645,1
28,9612,1
29,11577,1
30,8096,1
31,8813,1
32,36435,1
33,25706,1
34,12378,1
35,43364,1
36,14199,1
37,47101,1
38,12360,1
39,8277,1
40,47082,1
41,17436,1
42,43848,1
43,46327,1
44,20783,1
45,47632,1
46,11600,1
47,9319,1
48,46795,1
49,3764,1
50,8419,1
51,8588,1
52,8098,1
53,12085,1
54,19637,1
55,13222,1
56,8816,1
57,12358,1
58,11998,1
59,46992,1
60,7269,1
61,8924,1
62,46994,1
63,7607,1
64,9548,1
65,9488,1
66,8501,1
67,23794,1
68,8207,1
69,17781,1
70,35115,1
71,14080,1
72,626,1
73,4528,1
74,6935,1
75,7097,1
76,7111,1
77,9489,1
78,9628,1
79,9904,1
80,10250,1
81,17649,1
82,24324,1
83,34859,1
84,36606,1
85,24586,1
86,37086,1
87,1511,1
88,46449,1
89,12616,1
90,41936,1
91,46273,1
92,46889,1
93,8273,1
94,26325,1
95,15430,1
96,46733,1
97,46701,1
98,40181,1
99,21127,1
100,40532,1
101,10643,1
102,23508,1
103,8599,1
104,47008,1
105,8595,1
106,23509,1
107,43938,1
108,46767,1
109,37766,1
110,9952,1
111,43970,1
112,17863,1
113,46264,1
114,46418,1
115,24258,1
116,11356,1
117,1118,1
118,46373,1
119,40518,1
120,46321,1
121,25805,1
122,46518,1
123,8107,1
124,1513,1
125,33327,1
126,10730,1
127,30195,1
128,24594,1
129,47654,1
130,8418,1
131,33707,1
132,34642,1
133,41393,1
134,26085,1
135,43801,1
136,17541,1
137,24470,1
138,39771,1
139,46560,1
140,47366,1
141,10321,1
142,4646,1
143,15867,1
144,44039,1
145,43887,1
146,37748,1
147,47175,1
148,47156,1
149,8411,1
150,47619,1
151,47150,1
152,47129,1
153,46319,1
154,46356,1
155,46385,1
156,46559,1
157,46572,1
158,8089,1
159,10693,1
160,8514,1
161,46919,1
162,9008,1
163,46891,1
164,46884,1
165,46942,1
166,12736,1
167,46742,1
168,8439,1
169,43783,1
170,8802,1
171,47577,1
172,10180,1
173,47018,1
174,20609,1
175,43996,1
176,43797,1
177,25146,1
178,43948,1
179,27912,1
180,36092,1
181,43963,1
182,46532,1
183,47327,1
184,43992,1
185,46176,1
186,46156,1
187,46180,1
188,46108,1
189,42662,1
190,46286,1
191,46218,1
192,46291,1
193,46282,1
194,46433,1
195,46838,1
196,29648,1
197,47110,1
198,43798,1
199,29568,1
200,24248,1
201,46343,1
202,46561,1
203,25804,1
204,46570,1
205,30193,1
206,46556,1
207,46454,1
208,39393,1
209,46774,1
210,43872,1
211,46846,1
212,46914,1
213,46927,1
214,46893,1
215,10641,0
216,46676,1
217,8109,1
218,43856,1
219,9092,1
220,34998,1
221,31324,1
222,47582,1
223,39886,1
224,47564,1
225,47500,1
226,47603,1
227,47598,1
228,47586,1
229,47505,1
230,47595,1
231,25582,1
232,47568,1
233,46984,1
234,47036,1
235,43865,1
236,5251,1
237,11123,1
238,43969,1
239,23558,1
240,43793,1
241,41423,1
242,43956,1
243,43966,1
244,43912,1
245,110,1
246,993,1
247,1321,1
248,1778,1
249,3074,1
250,8100,1
251,8119,1
252,8168,1
253,8186,1
254,8188,1
255,8213,1
256,8326,1
257,8405,1
258,8513,1
259,8584,1
260,8587,1
261,8589,1
262,8600,1
263,8747,1
264,8754,1
265,8817,1
266,8955,1
267,9014,1
268,9051,1
269,9058,1
270,9093,1
271,9128,1
272,9136,1
273,9224,1
274,9468,1
275,9677,1
276,9735,1
277,9964,1
278,10083,1
279,10090,1
280,10181,1
281,10201,1
282,10267,1
283,10359,1
284,10599,1
285,10859,1
286,11689,1
287,11690,1
288,12379,1
289,12541,1
290,12688,1
291,12874,1
292,13158,1
293,13619,1
294,14315,1
295,14705,1
296,14757,1
297,15189,1
298,15249,1
299,15392,1
300,15439,1
301,16482,1
302,17269,1
303,17700,1
304,18219,1
305,18524,1
306,18648,1
307,20352,1
308,20897,1
309,21604,1
310,21800,1
311,22433,1
312,22544,1
313,22866,1
314,23401,1
315,23591,1
316,24069,1
317,24741,1
318,24742,1
319,24817,1
320,24868,1
321,25421,1
322,25660,1
323,25971,1
324,26262,1
325,26303,1
326,28222,1
327,29663,1
328,29664,1
329,29902,1
330,30347,1
331,32721,1
332,33101,1
333,34421,1
334,34470,1
335,36936,1
336,37039,1
337,40184,1
338,40899,1
339,41119,1
340,41221,1
341,41276,1
342,41599,1
343,41747,1
344,41987,1
345,43611,1
346,43870,1
347,43879,1
348,43888,1
349,43894,1
350,43909,1
351,43928,1
352,43968,1
353,43998,1
354,44956,1
355,46130,1
356,46140,1
357,46154,1
358,46174,1
359,46196,1
360,46206,1
361,46215,1
362,46278,1
363,46331,1
364,46359,1
365,46375,1
366,46380,1
367,46394,1
368,46403,1
369,46430,1
370,46441,1
371,46463,1
372,46466,1
373,46482,1
374,46534,1
375,46545,1
376,46547,1
377,46566,1
378,46661,1
379,46738,1
380,46745,1
381,46798,1
382,46806,1
383,46850,1
384,46871,1
385,46880,1
386,46922,1
387,46924,1
388,47027,1
389,47032,1
390,47079,1
391,47086,1
392,47089,1
393,47125,1
394,47133,1
395,47137,1
396,47405,1
397,47450,1
398,47490,1
399,47600,1
400,47624,1
401,47630,1
402,47631,1
403,47636,1
404,17118,1
405,40592,1
406,46116,1
407,46137,1
408,46771,1
409,46827,1
410,46910,1
411,46940,1
412,47638,1
413,47657,1
414,8752,1
415,46118,1
416,46165,1
417,46288,1
418,46271,1
419,46267,1
420,46436,1
421,12455,1
422,19817,1
423,46170,1
424,25004,1
425,46674,1
426,46747,1
427,5636,1
428,15956,1
429,47495,1
430,47034,1
431,47529,1
432,47608,1
433,43919,1
434,27475,1
435,8331,1
436,43897,1
437,21576,1
438,46117,1
439,47077,1
440,46784,1
441,46758,1
442,47556,1
443,13459,1
444,16488,1
445,47580,1
446,10071,1
447,47519,1
448,47546,1
449,47593,1
450,47626,1
451,11264,1
452,11795,1
453,32417,1
454,47055,1
455,47062,1
456,21017,1
457,9703,1
458,43790,1
459,28120,1
460,46191,1
461,44148,1
462,16575,1
463,8272,1
464,46492,1
465,18086,1
466,36493,1
467,10559,1
468,24326,1
469,1842,1
470,8615,1
471,43918,1
472,46830,1
473,9344,1
